Name, Count
California_Sansome,2
California_Scott,2
California_Spruce,3
California_Steiner,3
California_Stockton,2
California_Taylor,2
California_Van Ness,5
California_Walnut,3
California_Webster,2
Cambridge_Silver,0
Campus_Owens,0
Camp_Guerrero,0
Candlestick_Monster Park,0
Capitol_Ocean,3
Capitol_Sagamore,3
Cargo_Mendell,3
Carl_Stanyan,2
Carmel_Clayton_Twin Peaks,3
Carter_Geneva_Walbridge,5
Castle Manor_Maynard_Mission,1
Castro_Divisadero__Waller,0
Castro_Duboce,3
Castro_Henry,1
Cayuga_Geneva,3
Central_Fell,4
Central_Fulton,3
Central_Haight,1
Central_Oak,3
Cerritos_Ocean_Westgate,3
Cervantes_Marina_Scott,3
Cesar Chavez_Connecticut,3
Cesar Chavez_Dolores,3
Cesar Chavez_Evans,2
Cesar Chavez_Florida,0
Cesar Chavez_Folsom,4
Cesar Chavez_Guerrero,3
Cesar Chavez_Harrison,3
Cesar Chavez_Illinois,5
Cesar Chavez_Indiana,3
Cesar Chavez_Kansas,3
Cesar Chavez_Mission,3
Cesar Chavez_Pennsylvania,5
Cesar Chavez_Shotwell,4
Cesar Chavez_South Van Ness,3
Cesar Chavez_Valencia,3
Chabot Terrace_Turk,4
Channel_Corinne Woods,1
Charles J Brenham_McAllister,4
Chenery_Elk,0
Chestnut_Columbus_Taylor,3
Chestnut_Embarcadero_Pier 29_Sansome,3
Chestnut_Fillmore,5
Chestnut_Franklin,4
Chestnut_Van Ness,5
Circular_Monterey_I-280 On,4
Claremont_Portola,2
Clarendon_Dellbrook,1
Clarendon_Galewood,1
Clarendon_Laguna Honda,3
Clarendon_Oak Park,0
Clarendon_Panorama,3
Clayton_Fell,5
Clayton_Fulton,1
Clayton_Haight,1
Clayton_Market,4
Clayton_Oak,3
Clay_Davis,2
Clay_Drumm,3
Clay_Franklin,3
Clay_Front,3
Clay_Gough,1
Clay_Grant,4
Clay_Joice,3
Clay_Kearny,3
Clay_Montgomery,3
Clay_Polk,3
Clay_Powell,3
Clay_Sansome,3
Clay_Stockton,3
Clay_Van Ness,8
Clementina_Main,0
Clement_Park Presidio,3
Clipper Cove_Treasure Island,1
Cole_Fell,5
Cole_Oak,3
Collins_Geary,6
Columbus_Filbert,4
Columbus_Francisco,2
Columbus_Greenwich_Mason,3
Columbus_Green_Stockton,3
Columbus_Jackson,3
Columbus_Jansen_Lombard_Newell,3
Columbus_Kearny_Pacific,3
Columbus_Leavenworth_North Point,0
Columbus_Montgomery_Washington,3
Columbus_Union,3
Columbus_Vallejo,2
Constanso_Everglade_Sloat,0
Cook_Geary,3
Corbett_Market_Portola,4
Cortland_Mission,6
Cortland_Moultrie,1
Crossover Drive_Martin Luther King Drive,7
Crossover Drive_Park Presidio Bypass,3
Cyril Magnin_Eddy,3
Cyril Magnin_Ellis,3
Cyril Magnin_O'Farrell,3
Danvers_Market,3
Davis_Sacramento,2
Davis_Washington,2
Del Vale_O'Shaughnessy,2
Delano_Geneva,2
Delano_Ocean,0
Detroit_Monterey,0
Dewey_Laguna Honda_Woodside,3
Diamond Heights_Duncan,1
Diamond Heights_Elk_Sussex,1
Diamond_Market,3
Diamond_Monterey_San Jose Off Ramp,3
Divisadero_Eddy,3
Divisadero_Ellis,3
Divisadero_Fell,4
Divisadero_Fulton,4
Divisadero_Geary,3
Divisadero_Golden Gate,5
Divisadero_Grove,4
Divisadero_Haight,4
Divisadero_Hayes,5
Divisadero_Lombard,5
Divisadero_McAllister,4
Divisadero_O'Farrell,3
Divisadero_Oak,3
Divisadero_Page,4
Divisadero_Pine,2
Divisadero_Post,3
Divisadero_Sacramento,3
Divisadero_Sutter,3
Divisadero_Turk,2
Dolores_Market,3
Dolores_Randall_San Jose,3
Don Chee_Embarcadero,5
Dorado_Jules_Ocean,3
Douglass_Market,3
Drumm_Main_Market,3
Drumm_Sacramento,3
Drumm_Washington,2
Duboce_Guerrero,3
Duboce_Valencia,3
Duncan_Guerrero,3
Dwight_Paul_San Bruno,3
Eddy_Fillmore,3
Eddy_Franklin,2
Eddy_Gough,3
Eddy_Hyde,2
Eddy_Jones,2
Eddy_Laguna,2
Eddy_Larkin,2
Eddy_Leavenworth,2
Eddy_Mason,2
Eddy_Polk,2
Eddy_Taylor,3
Eddy_Van Ness,5
Eddy_Webster,2
El Mirasol_Sloat,0
Ellis_Fillmore,0
Ellis_Franklin,2
Ellis_Gough,3
Ellis_Hyde,4
Ellis_Jones,2
Ellis_Larkin,3
Ellis_Leavenworth,2
Ellis_Mason,3
Ellis_Polk,2
Ellis_Powell,3
Ellis_Taylor,3
Ellis_Van Ness,5
Ellis_Webster,1
Embarcadero_Folsom,3
Embarcadero_Green,5
Embarcadero_Harrison_Pier 24,3
Embarcadero_Howard,3
Embarcadero_Jefferson_Powell,3
Embarcadero_Kearny_North Point,3
Embarcadero_King_Pier 40_Townsend,2
Embarcadero_Mission,6
Embarcadero_Pier 23,3
Embarcadero_Stockton_Pier 39,4
Embarcadero_Washington,4
Esquina_Geneva,3
Essex_Folsom,4
Essex_Harrison_I-80 E On Ramp,4
Eucalyptus_Junipero Serra_Ocean,6
Euclid_Masonic,5
Eureka_Market,3
Evans_Mendell,3
Evans_Napoleon_Toland,4
Evans_Phelps,2
Evans_Rankin,3
Evelyn_Portola,3
Ewing_Masonic,3
Excelsior_Mission,5
Fair_Mission_Valencia,4
Falmouth_Folsom,0
Farallones_San Jose,2
Farragut_Mission,0
Faxon_Ocean,3
Fell_Fillmore,4
Fell_Franklin,5
Fell_Gough,4
Fell_Laguna,5
Fell_Lyon,7
Fell_Masonic,4
Fell_Octavia,6
Fell_Pierce,4
Fell_Scott,4
Fell_Shrader,4
Fell_Steiner,4
Fell_Van Ness,7
Fell_Webster,5
Felton_San Bruno,1
Filbert_Franklin,3
Filbert_Mason,2
Filbert_Van Ness,12
Fillmore_Fulton,5
Fillmore_Geary (North Int.),1
Fillmore_Geary (South Int.),3
Fillmore_Golden Gate,3
Fillmore_Haight,4
Fillmore_Hayes,4
Fillmore_Lombard,6
Fillmore_Marina,3
Fillmore_McAllister,3
Fillmore_O'Farrell,3
Fillmore_Oak,5
Fillmore_Pine,4
Fillmore_Post,4
Fillmore_Sacramento,4
Fillmore_Sutter,4
Fillmore_Turk,4
Fillmore_Union,4
Florentine_Mission,0
Foerster_Monterey,3
Folsom_Fremont,4
Folsom_Hawthorne,3
Folsom_Mabini,3
Folsom_Main,4
Folsom_Rausch,0
Folsom_Russ,5
Folsom_Spear,4
Font_Lake Merced,3
Foote_Guttenberg_Mission,6
Forest Hill Station_Laguna Honda Blvd,3
Forest View_Sloat,0
Fowler_Portola_Sydney,2
France_Mission,4
Francisco_Laguna,1
Francisco_Richardson,6
Francisco_Van Ness,4
Franklin_Fulton,2
Franklin_Geary,2
Franklin_Golden Gate,2
Franklin_Green,3
